split,model,journeys,cutoffs,rows,mae_min,rmse_min,median_ae_min,p90_ae_min,within_5_min_pct,within_10_min_pct,within_15_min_pct,evaluation_complete
test,Recent-delay baseline,9,118,1362,17.14679596997879,24.363471584736402,12.136111111111113,40.333333333333336,22.61380323054332,41.923641703377385,59.91189427312775,True
test,Model 3,9,118,1362,16.78225452020135,23.26708464275589,12.192754716116209,38.78088139885085,22.3935389133627,41.923641703377385,58.81057268722467,True
test,Final hybrid,9,118,1362,16.48822536528748,23.100100773126,11.753261962554049,38.76050070126727,24.008810572687224,43.53891336270191,59.838472834067545,True
validation,Recent-delay baseline,2,35,534,13.511860174781523,16.72614853885437,11.666666666666664,27.566666666666663,23.03370786516854,45.69288389513109,62.172284644194754,True
validation,Model 3,2,35,534,13.291240908588314,16.40749142013138,11.67304289358758,27.180631064925144,21.910112359550563,43.63295880149813,62.734082397003746,True
validation,Final hybrid,2,35,534,13.014401548869635,16.171075892331924,11.437999038055565,26.72343511411221,23.40823970037453,45.1310861423221,64.04494382022472,True
