split,model,rows,journeys,cutoffs,mae_min,rmse_min,median_ae_min,p90_ae_min,mean_signed_error_min,within_10_min_pct,within_15_min_pct
test,Recent-delay baseline,117,9,117,12.118613485280152,16.299509375519968,9.666666666666668,24.995555555555566,-2.3178537511870845,50.427350427350426,75.21367521367522
test,Model 3,117,9,117,11.92122838021711,15.695372734264884,9.55785096491875,23.435757412774826,1.8301087760689752,50.427350427350426,73.50427350427351
test,Final hybrid,117,9,117,8.498427448655711,12.49852973629062,5.946749660223627,18.29393426732899,0.22550645051396395,69.23076923076923,85.47008547008546
test,Model 2 — used/available subset,117,9,117,8.498427448655711,12.49852973629062,5.946749660223627,18.29393426732899,0.22550645051396395,69.23076923076923,85.47008547008546
validation,Recent-delay baseline,35,2,35,12.995238095238095,16.179278340489965,9.666666666666668,26.6,-0.21428571428571408,51.42857142857142,62.857142857142854
validation,Model 3,35,2,35,12.628789483318252,16.169214282067006,10.28324423422119,27.670275202988403,3.2175527795925696,48.57142857142857,62.857142857142854
validation,Final hybrid,35,2,35,8.405011823610419,11.99715666562907,5.2438482388742145,22.721539828058173,-1.8495019836399995,71.42857142857143,82.85714285714286
validation,Model 2 — used/available subset,35,2,35,8.405011823610419,11.99715666562907,5.2438482388742145,22.721539828058173,-1.8495019836399995,71.42857142857143,82.85714285714286
